# Alerts will appear here when suspicious activity is detected
[2026-03-26 20:06:39] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:06:44] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:06:49] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:06:51] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:06:54] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:06:59] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:07:01] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:07:04] PORT_SCAN | Source: 208.95.112.1 | Port: 45096
[2026-03-26 20:07:05] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:07:09] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:07:15] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:07:19] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:07:25] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:07:29] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:07:39] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:07:39] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:07:40] PORT_SCAN | Source: 208.95.112.1 | Port: 47732
[2026-03-26 20:07:46] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:07:51] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:07:51] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:01] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:08:01] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:06] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:08:11] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:08:11] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:21] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:08:22] PORT_SCAN | Source: 208.95.112.1 | Port: 49480
[2026-03-26 20:08:22] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:31] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:08:32] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:37] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:08:43] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:08:43] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:53] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:08:53] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:08:59] PORT_SCAN | Source: 208.95.112.1 | Port: 48538
[2026-03-26 20:09:03] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:09:03] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:09:04] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:09:14] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:09:14] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:09:24] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:09:24] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:09:33] SUSPICIOUS_IP_ACTIVITY | Source: 151.101.157.91 | Port: N/A
[2026-03-26 20:09:34] SUSPICIOUS_IP_ACTIVITY | Source: 10.0.2.15 | Port: N/A
[2026-03-26 20:09:34] SUSPICIOUS_IP_ACTIVITY | Source: 208.95.112.1 | Port: N/A
[2026-03-26 20:09:34] PORT_SCAN | Source: 208.95.112.1 | Port: 58222
